config,bench,run,wall_seconds
reli-1khz-relijit,depth-30-2M,5,0.279
phpspy-1khz-jit,depth-30-2M,6,0.271
reli-1khz-jit,depth-30-2M,6,0.271
reli-1khz-relijit,depth-30-2M,6,0.311
phpspy-1khz-jit,depth-30-2M,7,0.274
reli-1khz-jit,depth-30-2M,7,0.277
reli-1khz-relijit,depth-30-2M,7,0.285
phpspy-1khz-jit,depth-30-2M,8,0.279
reli-1khz-jit,depth-30-2M,8,0.370
reli-1khz-relijit,depth-30-2M,8,0.273
phpspy-1khz-jit,depth-30-2M,9,0.268
reli-1khz-jit,depth-30-2M,9,0.278
reli-1khz-relijit,depth-30-2M,9,0.269
phpspy-1khz-jit,depth-30-2M,10,0.288
reli-1khz-jit,depth-30-2M,10,0.271
reli-1khz-relijit,depth-30-2M,10,0.280
phpspy-1khz-jit,depth-100-1M,1,0.373
reli-1khz-jit,depth-100-1M,1,0.343
reli-1khz-relijit,depth-100-1M,1,0.332
phpspy-1khz-jit,depth-100-1M,2,0.335
reli-1khz-jit,depth-100-1M,2,0.358
reli-1khz-relijit,depth-100-1M,2,0.363
phpspy-1khz-jit,depth-100-1M,3,0.339
reli-1khz-jit,depth-100-1M,3,0.345
reli-1khz-relijit,depth-100-1M,3,0.338
phpspy-1khz-jit,depth-100-1M,4,0.346
reli-1khz-jit,depth-100-1M,4,0.346
reli-1khz-relijit,depth-100-1M,4,0.384
phpspy-1khz-jit,depth-100-1M,5,0.354
reli-1khz-jit,depth-100-1M,5,0.337
reli-1khz-relijit,depth-100-1M,5,0.333
phpspy-1khz-jit,depth-100-1M,6,0.358
reli-1khz-jit,depth-100-1M,6,0.343
reli-1khz-relijit,depth-100-1M,6,0.364
phpspy-1khz-jit,depth-100-1M,7,0.425
reli-1khz-jit,depth-100-1M,7,0.342
reli-1khz-relijit,depth-100-1M,7,0.341
phpspy-1khz-jit,depth-100-1M,8,0.343
reli-1khz-jit,depth-100-1M,8,0.338
reli-1khz-relijit,depth-100-1M,8,0.350
phpspy-1khz-jit,depth-100-1M,9,0.334
reli-1khz-jit,depth-100-1M,9,0.370
reli-1khz-relijit,depth-100-1M,9,0.341
phpspy-1khz-jit,depth-100-1M,10,0.349
reli-1khz-jit,depth-100-1M,10,0.352
reli-1khz-relijit,depth-100-1M,10,0.356
